areaName,Borough,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03
All Downtown,Manhattan,4000,3995,3995,3850,3700,3600,3500,3380,3290,3195,3100,3100,3100,3150,3112
All Midtown,Manhattan,3700,3695,3685,3525,3362,3214,3098,2996,2950,2900,2877,2873,2895,2900,2950
All Upper East Side,Manhattan,3285,3250,3250,3150,3025,2950,2800,2700,2650,2500,2495,2495,2413,2450,2400
All Upper Manhattan,Manhattan,2383,2400,2450,2450,2425,2400,2400,2350,2295,2250,2208,2200,2200,2180,2195
All Upper West Side,Manhattan,3650,3568,3500,3400,3295,3200,3129,3000,2921,2800,2800,2800,2795,2814,2795
Astoria,Queens,2317,2395,2300,2300,2275,2245,2200,2150,2100,2000,2000,1995,1950,1950,1900
Auburndale,Queens,1823,1950,1948,,1995,1995,1823,2000,2000,2025,2000,2152,2272,2100,2195
Bath Beach,Brooklyn,1795,1900,2025,,1875,1800,1900,2000,1795,1700,1785,1695,1698,1750,1800
Battery Park City,Manhattan,4431,4154,4190,4200,4500,4493,4250,4237,4190,3950,3750,3810,3750,3978,3995
Bay Ridge,Brooklyn,1895,2000,2100,2071,1995,2000,2000,1950,1950,1850,1800,1775,1750,1750,1799
Bayside,Queens,2100,1900,2000,1875,1950,2175,2150,2075,2000,1988,2000,2045,2000,1995,1863
Bedford Park,Bronx,1699,2008,1625,,,,1648,1695,1700,1601,1625,1625,1725,1662,1850
Bedford-Stuyvesant,Brooklyn,2590,2537,2537,2537,2550,2550,2500,2500,2400,2300,2300,2250,2250,2250,2260
Belmont,Bronx,1800,1750,1688,1695,2500,2298,2295,2295,2125,2075,2125,2225,2200,2223,2100
Bensonhurst,Brooklyn,1962,1995,1999,1775,1700,1750,1650,1800,1800,1700,1600,1525,1550,1625,1750
Boerum Hill,Brooklyn,3300,3350,3275,3300,3375,3250,3187,3150,3000,2850,2775,2700,2600,2650,2700
Borough Park,Brooklyn,1850,1973,2098,1800,1857,1700,1754,1850,1795,1795,1795,1773,1797,1698,1700
Briarwood,Queens,1786,1770,1770,1725,1698,1780,1795,1726,1750,1750,1725,1725,1725,1725,1725
Brighton Beach,Brooklyn,1885,1935,2100,2129,2010,2036,2000,2200,2100,1985,1985,1950,1800,1750,1800
Bronx,Bronx,1950,1950,1995,2000,1975,1995,2000,1985,1995,1925,1900,1900,1900,1935,1913
Bronxwood,Bronx,1675,1645,,,,,,1700,1725,1648,1548,1623,1625,1545,1845
Brooklyn,Brooklyn,2600,2650,2655,2700,2700,2699,2695,2600,2500,2450,2400,2400,2398,2395,2399
Brooklyn Heights,Brooklyn,3749,3554,3500,3757,3470,3200,3250,2964,2958,2850,2800,2800,2795,2750,2700
Brookville,Queens,,,,,,,,,,,,,,,
Brownsville,Brooklyn,2000,1987,2000,1843,1868,1888,1925,2314,2295,1908,2150,2200,2000,1850,1995
Bushwick,Brooklyn,2797,2800,2750,2666,2600,2571,2595,2500,2475,2399,2395,2350,2350,2399,2395
Cambria Heights,Queens,,,,,,,,,,,,,,,
Canarsie,Brooklyn,2200,2200,2300,2299,2300,2200,2200,2200,2350,2300,2300,2199,2150,2250,2100
Carroll Gardens,Brooklyn,3200,3400,3390,3300,3475,3000,3000,3000,2810,2750,2650,2500,2500,2500,2600
Castle Hill,Bronx,,,,,,,,,,,,,,,
Central Harlem,Manhattan,2500,2495,2500,2500,2600,2595,2550,2495,2400,2395,2395,2375,2300,2300,2300
Central Park South,Manhattan,7823,7500,7800,8000,7450,6500,6185,6185,6461,6500,6500,6500,6800,6995,6650
Central Queens,Queens,2150,2199,2200,2200,2200,2200,2200,2150,2100,2050,2000,2000,2000,2000,2000
Chelsea,Manhattan,4100,4175,4195,3977,3850,3838,3642,3532,3425,3345,3300,3400,3400,3495,3594
Chinatown,Manhattan,3275,2695,3300,3000,2985,2935,2748,2650,2415,2400,2375,2325,2350,2300,2300
Clearview,Queens,,,,,,2298,,,,,2300,,,,
Clinton Hill,Brooklyn,2954,3100,2995,2995,2995,2975,2895,2800,2700,2649,2613,2600,2600,2583,2579
Co-op City,Bronx,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,3125,3500,3425,3500,3350,3200,3000,2908,2875,2800,2800,2825,2800,2700,2850
College Point,Queens,,,,,,,,,,,,,,,
Columbia St Waterfront District,Brooklyn,2950,2650,2650,3000,2688,2638,3000,2933,2800,2625,2515,2500,2500,2500,2530
Concourse,Bronx,1800,1832,1897,1924,1895,1785,1700,1749,1749,1700,1675,1650,1825,1900,1800
Coney Island,Brooklyn,2390,2475,2365,2238,2250,2250,2250,2315,2330,2303,2251,2251,2239,2119,2119
Corona,Queens,2075,1909,1874,1875,1886,1868,1911,1902,1821,1806,1809,1815,1828,1916,2116
Crotona Park East,Bronx,1931,1775,2000,2223,2245,2200,,2050,,,,,,,
Crown Heights,Brooklyn,2550,2638,2550,2499,2499,2450,2499,2500,2400,2300,2250,2250,2250,2275,2250
DUMBO,Brooklyn,4995,5207,4928,4723,4571,4500,4498,4285,4500,4495,4495,4095,4000,3895,3898
Ditmas Park,Brooklyn,2200,2199,2399,2298,2200,2199,2200,2100,2095,1963,1900,1899,1900,1900,1950
Douglaston,Queens,,,2400,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,3485,3450,3339,3195,3239,3250,3200,3050,2900,2880,2902,2975,3000,3000,3012
Dyker Heights,Brooklyn,2100,2200,2125,2150,2050,2150,2050,2150,2000,2050,2100,2100,1800,1850,1850
East Brooklyn,Brooklyn,2599,2600,2588,2550,2550,2500,2500,2500,2400,2335,2300,2300,2299,2300,2300
East Elmhurst,Queens,,2275,,,2550,1900,2195,2200,,,,,,,
East Flatbush,Brooklyn,2200,2195,2200,2185,2250,2203,2205,2195,2100,2100,2100,2150,2150,2217,2199
East Harlem,Manhattan,2400,2400,2450,2495,2440,2300,2345,2295,2250,2195,2150,2096,2100,2000,2000
East New York,Brooklyn,2225,2250,2225,2195,2250,2250,2200,2190,2110,2098,2095,2100,2148,2120,2150
East Tremont,Bronx,1798,1845,,,,1900,1900,1790,1700,1650,1650,1699,1950,,1575
East Village,Manhattan,3200,3240,3200,3250,3250,3200,3100,2995,2850,2723,2695,2600,2595,2500,2594
Elmhurst,Queens,1925,2000,2050,2043,2095,2000,1933,1900,1895,1800,1775,1850,1773,1750,1755
Financial District,Manhattan,3771,3798,3769,3595,3529,3450,3300,3295,3200,3200,3170,3150,3100,3200,3200
Flatbush,Brooklyn,2381,2300,2300,2300,2275,2293,2250,2250,2150,2150,2074,2100,2099,2099,2050
